project_id,title,description,creator_id,status,required_skills,research_areas
211,Research Project 211,A study on Neuroscience with implications in modern applications.,36,Active,"R, Financial Forecasting, Scientific Writing","Bioinformatics, Machine Learning"
212,Research Project 212,A study on Political Science with implications in modern applications.,9,Active,"TensorFlow, Behavioral Analysis, Python","Bioinformatics, Law"
213,Research Project 213,A study on Political Science with implications in modern applications.,7,Active,"Statistics, Econometric Modeling, Legal Research","Biology, Law"
214,Research Project 214,A study on Anthropology with implications in modern applications.,16,Inactive,"Qualitative Research, Scientific Writing, TensorFlow","Mathematics, Machine Learning"
215,Research Project 215,A study on Biology with implications in modern applications.,41,Active,"Legal Research, Qualitative Research, Cognitive Science","Law, Cybersecurity"
216,Research Project 216,A study on Education with implications in modern applications.,24,Inactive,"Scientific Writing, Public Speaking, PyTorch","Data Science, Healthcare"
217,Research Project 217,A study on Anthropology with implications in modern applications.,40,Active,"Mathematical Modeling, Healthcare Policy, Legal Research","Computer Vision, NLP"
218,Research Project 218,A study on Biology with implications in modern applications.,38,Inactive,"Qualitative Research, TensorFlow, Healthcare Policy","Psychology, Political Science"
219,Research Project 219,A study on Law with implications in modern applications.,29,Active,"Mathematical Modeling, Experimental Design, Public Speaking","Physics, AI"
220,Research Project 220,A study on Environmental Science with implications in modern applications.,7,Inactive,"Python, Survey Analysis, Machine Learning","Blockchain, Linguistics"
221,Research Project 221,A study on Sociology with implications in modern applications.,50,Active,"Qualitative Research, Scientific Writing, Experimental Design","Astronomy, Cloud Computing"
222,Research Project 222,A study on Healthcare with implications in modern applications.,10,Active,"Mathematical Modeling, Econometric Modeling, Survey Analysis","Law, Political Science"
223,Research Project 223,A study on Blockchain with implications in modern applications.,25,Inactive,"Econometric Modeling, PyTorch, Python","NLP, Mathematics"
224,Research Project 224,A study on Computer Vision with implications in modern applications.,47,Inactive,"SQL, Public Speaking, Financial Forecasting","NLP, Linguistics"
225,Research Project 225,A study on Bioinformatics with implications in modern applications.,31,Active,"Survey Analysis, Data Analysis, PyTorch","Political Science, Law"
226,Research Project 226,A study on Psychology with implications in modern applications.,22,Inactive,"TensorFlow, Scientific Writing, Machine Learning","Cloud Computing, Machine Learning"
227,Research Project 227,A study on Sociology with implications in modern applications.,6,Active,"Statistics, TensorFlow, Financial Forecasting","NLP, Law"
228,Research Project 228,A study on Psychology with implications in modern applications.,39,Active,"Public Speaking, Healthcare Policy, Data Analysis","Linguistics, NLP"
229,Research Project 229,A study on Machine Learning with implications in modern applications.,46,Active,"Behavioral Analysis, R, PyTorch","AI, Law"
230,Research Project 230,A study on Psychology with implications in modern applications.,18,Active,"Healthcare Policy, Survey Analysis, R","Law, Sociology"
231,Research Project 231,A study on Anthropology with implications in modern applications.,42,Inactive,"Cognitive Science, PyTorch, Mathematical Modeling","Anthropology, Environmental Science"
232,Research Project 232,A study on Neuroscience with implications in modern applications.,22,Active,"Financial Forecasting, Machine Learning, Data Analysis","Economics, Computer Vision"
233,Research Project 233,A study on Education with implications in modern applications.,15,Active,"Qualitative Research, SQL, Python","Neuroscience, NLP"
234,Research Project 234,A study on Physics with implications in modern applications.,35,Active,"Cognitive Science, Survey Analysis, Legal Research","Physics, Mathematics"
235,Research Project 235,A study on Data Science with implications in modern applications.,48,Active,"Legal Research, Healthcare Policy, PyTorch","Education, Physics"
236,Research Project 236,A study on Psychology with implications in modern applications.,48,Inactive,"Qualitative Research, Data Analysis, Machine Learning","Blockchain, Law"
237,Research Project 237,A study on Anthropology with implications in modern applications.,15,Active,"Legal Research, Cognitive Science, Statistics","Deep Learning, Data Science"
238,Research Project 238,A study on Healthcare with implications in modern applications.,8,Active,"Legal Research, Python, Machine Learning","Physics, Computer Vision"
239,Research Project 239,A study on Neuroscience with implications in modern applications.,21,Active,"Behavioral Analysis, Cognitive Science, SQL","Environmental Science, Sociology"
240,Research Project 240,A study on Education with implications in modern applications.,32,Active,"Machine Learning, Statistics, Scientific Writing","Psychology, Healthcare"
241,Research Project 241,A study on Bioinformatics with implications in modern applications.,4,Active,"R, Python, Genomics","Psychology, Deep Learning"
242,Research Project 242,A study on Cybersecurity with implications in modern applications.,22,Active,"Financial Forecasting, Econometric Modeling, Healthcare Policy","Deep Learning, Sociology"
243,Research Project 243,A study on Neuroscience with implications in modern applications.,22,Active,"Cognitive Science, Qualitative Research, Survey Analysis","Biology, Physics"
244,Research Project 244,A study on Psychology with implications in modern applications.,11,Active,"PyTorch, Mathematical Modeling, Survey Analysis","Astronomy, Data Science"
245,Research Project 245,A study on Computer Vision with implications in modern applications.,2,Active,"PyTorch, R, Scientific Writing","Linguistics, Astronomy"
246,Research Project 246,A study on Environmental Science with implications in modern applications.,2,Inactive,"Experimental Design, R, Mathematical Modeling","Anthropology, AI"
247,Research Project 247,A study on Biology with implications in modern applications.,35,Active,"Experimental Design, Scientific Writing, Healthcare Policy","Cloud Computing, Economics"
248,Research Project 248,A study on Neuroscience with implications in modern applications.,37,Active,"Scientific Writing, Experimental Design, Financial Forecasting","Blockchain, Sociology"
249,Research Project 249,A study on Machine Learning with implications in modern applications.,40,Inactive,"R, PyTorch, Public Speaking","Anthropology, Economics"
250,Research Project 250,A study on Cybersecurity with implications in modern applications.,40,Active,"Mathematical Modeling, Survey Analysis, R","Sociology, Biology"
